trace,threshold,questions_total,small_only_accuracy,scheduled_accuracy,scheduled_gain_over_small,trigger_rate,error_questions_triggered,error_questions_total,correct_questions_triggered,false_alarm_correct_question_rate,fixed_error_questions,harmed_correct_questions,avg_handoff_count,first_trigger_progress_median,first_trigger_score_median,avg_small_generated_tokens,avg_small_actual_generated_tokens,avg_small_discarded_tokens,avg_large_generated_tokens,avg_param_weighted_token_cost,cost_per_gain_point,latency_mean_s,latency_p90_s
observe_rollback_traces_mixed_original_takeover4_thr015_045_gsm8k_test.json,0.15,300,0.69,0.83,0.14,0.9933333333333333,93,93,205,0.9903381642512077,51,9,1.348993288590604,0.193359375,0.23129427433013916,156.87,208.83666666666667,51.96666666666667,161.81333333333333,1445.9483333333333,103.28202380952379,8.209997444152831,11.986143398284913
observe_rollback_traces_mixed_original_takeover4_thr015_045_gsm8k_test.json,0.2,300,0.69,0.8133333333333334,0.12333333333333334,0.96,93,93,195,0.9420289855072463,46,9,1.2465277777777777,0.212890625,0.30301862955093384,172.21333333333334,220.26333333333332,48.05,144.87333333333333,1344.5083333333332,109.01418918918917,7.350066928863526,11.107061839103702
observe_rollback_traces_mixed_original_takeover4_thr015_045_gsm8k_test.json,0.25,300,0.69,0.8033333333333333,0.11333333333333333,0.8833333333333333,90,93,175,0.8454106280193237,43,9,1.2037735849056603,0.23046875,0.3456135392189026,184.83666666666667,228.25666666666666,43.42,128.51,1241.955,109.58426470588236,7.10738595644633,10.861484146118165
observe_rollback_traces_mixed_original_takeover4_thr015_045_gsm8k_test.json,0.3,300,0.69,0.8033333333333333,0.11333333333333333,0.82,88,93,158,0.7632850241545893,42,8,1.1788617886178863,0.24283854166666669,0.3736269176006317,196.55666666666667,235.20666666666668,38.65,115.64333333333333,1162.3133333333333,102.55705882352942,7.458442220687866,12.086333942413333
observe_rollback_traces_mixed_original_takeover4_thr015_045_gsm8k_test.json,0.35,300,0.69,0.79,0.1,0.6833333333333333,79,93,126,0.6086956521739131,36,6,1.1512195121951219,0.25390625,0.4296386241912842,215.86,246.64,30.78,94.03,1028.17,102.81700000000001,7.017491854826609,11.324422574043275
observe_rollback_traces_mixed_original_takeover4_thr015_045_gsm8k_test.json,0.4,300,0.69,0.7733333333333333,0.08333333333333333,0.5733333333333334,70,93,102,0.4927536231884058,32,7,1.127906976744186,0.267578125,0.46532830595970154,230.19333333333333,254.82,24.626666666666665,78.67666666666666,932.9666666666667,111.95600000000002,6.682658745447795,11.06254231929779
observe_rollback_traces_mixed_original_takeover4_thr015_045_gsm8k_test.json,0.45,300,0.69,0.76,0.07,0.45,62,93,73,0.3526570048309179,26,5,1.1037037037037036,0.30859375,0.5235334038734436,250.69,269.07666666666665,18.386666666666667,56.39333333333333,798.3683333333333,114.05261904761903,6.29252681016922,10.527554345130921
observe_rollback_traces_mixed_original_takeover4_thr015_045_svamp_test.json,0.15,300,0.8033333333333333,0.89,0.08666666666666667,0.9766666666666667,59,59,234,0.970954356846473,34,8,1.1672354948805461,0.265625,0.23225343227386475,123.17,157.76333333333332,34.593333333333334,87.63,850.055,98.08326923076922,4.79200807094574,7.472362399101259
observe_rollback_traces_mixed_original_takeover4_thr015_045_svamp_test.json,0.2,300,0.8033333333333333,0.8833333333333333,0.08,0.9133333333333333,57,59,217,0.9004149377593361,32,8,1.1313868613138687,0.28515625,0.28740325570106506,134.34333333333333,164.29333333333332,29.95,75.34666666666666,773.8666666666666,96.73333333333332,3.9887632012367247,6.084533262252808
observe_rollback_traces_mixed_original_takeover4_thr015_045_svamp_test.json,0.25,300,0.8033333333333333,0.8666666666666667,0.06333333333333334,0.77,53,59,178,0.7385892116182573,28,9,1.1255411255411256,0.294921875,0.35321879386901855,144.67333333333335,170.37333333333333,25.7,63.983333333333334,703.4433333333334,111.07,3.751738689740499,5.980638360977174
